state,st,covid_age_group_0_17,covid_age_group_18_49,covid_age_group_50_64,covid_age_group_65plus,age_group_0_17_no_covid,age_group_18_49_no_covid,age_group_50_64_no_covid,age_group_65plus_no_covid,covid_sex_female,covid_sex_male,sex_male_no_covid,sex_female_no_covid,covid_race_white,covid_race_black,covid_race_asian,covid_race_multiple_other,covid_race_am_indian_alaska_native,covid_race_native_hawaiian_other_pacific,covid_no_race,median_income,total_state_population,state_policy_prevention_mandates_score,trump_approval,trump_disapproval,people_who_dont_care_about_trump,number_republican_lean,number_democrat_lean,number_neither_democrat_or_republican,number_conservatives,number_moderates,number_liberals,number_no_political_ideology,economic_confidence_index,number_very_religious,number_moderatly_religious,number_nonreligious,percent_uninsured,number_uninsured,number_insured,number_exercise_frequently,number_dont_exercise_frequently,number_eat_produce_frequently,number_dont_eat_produce_frequently,number_feel_recognize_by_community,number_dont_feel_community_recognition,number_feel_active_and_productive,number_arent_active_and_productive,number_worried_about_money,number_not_worried_about_money,tot_airports,state_land_area_sqmile,airport_area,target_var_covid_st,population_density,covid_age_group_0_17_ratio,covid_age_group_18_49_ratio,covid_age_group_50_64_ratio,covid_age_group_65plus_ratio,age_group_0_17_no_covid_ratio,age_group_18_49_no_covid_ratio,age_group_50_64_no_covid_ratio,age_group_65plus_no_covid_ratio,covid_sex_female_ratio,covid_sex_male_ratio,sex_male_no_covid_ratio,sex_female_no_covid_ratio,covid_race_white_ratio,covid_race_black_ratio,covid_race_asian_ratio,covid_race_multiple_other_ratio,covid_race_am_indian_alaska_native_ratio,covid_race_native_hawaiian_other_pacific_ratio,covid_no_race_ratio,median_income_ratio,trump_approval_ratio,trump_disapproval_ratio,people_who_dont_care_about_trump_ratio,number_republican_lean_ratio,number_democrat_lean_ratio,number_neither_democrat_or_republican_ratio,number_conservatives_ratio,number_moderates_ratio,number_liberals_ratio,number_no_political_ideology_ratio,number_very_religious_ratio,number_moderatly_religious_ratio,number_nonreligious_ratio,percent_uninsured_ratio,number_uninsured_ratio,number_insured_ratio,number_exercise_frequently_ratio,number_dont_exercise_frequently_ratio,number_eat_produce_frequently_ratio,number_dont_eat_produce_frequently_ratio,number_feel_recognize_by_community_ratio,number_dont_feel_community_recognition_ratio,number_feel_active_and_productive_ratio,number_arent_active_and_productive_ratio,number_worried_about_money_ratio,number_not_worried_about_money_ratio
Alaska,AK,6758,27612,8559,4420,172991,294624,131126,86168,23854,23495,358539,327258,10312,671,1047,6312,8280,680,20047,78394,731545,88,365773,321880,43893,380403,226779,124363,263356,307249,124363,36577,6,204833,182886,343826,12,85591,645954,461605,269940,451363,280182,174108,557437,552316,179229,218000,513545,19,50645,0.0004,0.934919538,14.44456511,0.009237983,0.037744773,0.011699895,0.006042007,0.236473491,0.402742142,0.179245296,0.117789063,0.0326077,0.032116958,0.490112023,0.447351838,0.014096194,0.000917237,0.001431217,0.008628314,0.011318511,0.00092954,0.027403646,0.107162239,0.500000683,0.440000273,0.06000041,0.519999453,0.310000068,0.170000478,0.359999727,0.420000137,0.170000478,0.049999658,0.280000547,0.249999658,0.469999795,1.64036E-05,0.117000321,0.882999679,0.631000144,0.368999856,0.616999638,0.383000362,0.238000396,0.761999604,0.754999351,0.245000649,0.29799944,0.70200056
Alabama,AL,29640,226275,54576,44637,1055957,1867632,902799,809675,147562,207566,2184313,2386012,130392,56334,343,7518,0,0,160541,56200,4903185,74,2598688,2059338,245159,2451593,1716115,735478,2108370,1667083,784510,343223,10,2647720,1421924,833541,14,666833,4236352,2441786,2461399,2721268,2181917,1010056,3893129,3221393,1681792,1750437,3152748,3,570641,0,0.622331729,8.592416248,0.00604505,0.046148575,0.011130724,0.009103674,0.215361444,0.380901802,0.184125013,0.16513246,0.030095132,0.042332892,0.445488596,0.486624918,0.026593327,0.011489267,6.99545E-05,0.001533289,0,0,0.032742187,0.011461937,0.52999999,0.420000061,0.049999949,0.500000102,0.350000051,0.150000051,0.430000092,0.34000002,0.160000082,0.07000001,0.54000002,0.290000071,0.169999908,2.85529E-06,0.135999967,0.864000033,0.497999973,0.502000027,0.555000066,0.444999934,0.205999978,0.794000022,0.657000093,0.342999907,0.356999991,0.643000009
Arkansas,AR,25071,103916,36348,29091,673941,1129382,528694,495146,85262,109164,1379621,1457837,120966,30743,562,6230,43,1999,33883,54539,3017804,82,1508902,1327834,181068,1358012,1086409,573383,1267478,1056231,513027,181068,4,1508902,905341,573383,10,307816,2709988,1557187,1460617,1668846,1348958,555276,2462528,1991751,1026053,1104516,1913288,4,113594,0,1.71158688,26.56657922,0.008307697,0.034434311,0.01204452,0.009639791,0.22332166,0.374239679,0.175191629,0.164074937,0.028252995,0.036173323,0.457160571,0.483078755,0.040084114,0.010187209,0.000186228,0.002064415,1.42488E-05,0.000662402,0.011227701,0.018072413,0.5,0.44000008,0.05999992,0.450000066,0.359999854,0.19000008,0.420000106,0.349999867,0.170000106,0.05999992,0.5,0.299999934,0.19000008,3.31367E-06,0.101999997,0.898000003,0.516000045,0.483999955,0.553000129,0.446999871,0.184000021,0.815999979,0.660000119,0.339999881,0.365999913,0.634000087
Arizona,AZ,64848,329243,110734,74198,1574800,2700769,1192946,1233043,274328,304695,3321441,3383454,315094,17337,6149,15511,30801,328,193803,70674,7278717,81,2984274,3857720,436723,3057061,2911487,1310169,2401977,2693125,1674105,509510,8,2256402,2256402,2838700,11,800659,6478058,4017852,3260865,4330837,2947880,1455743,5822974,5102381,2176336,2387419,4891298,4,52035,0.0001,11.12756798,139.8811761,0.008909262,0.045233659,0.015213395,0.010193829,0.216356811,0.371050145,0.163895093,0.169403894,0.03768906,0.041861086,0.456322316,0.464842087,0.043289772,0.002381876,0.000844792,0.002131007,0.004231652,4.50629E-05,0.026625984,0.009709678,0.410000004,0.529999999,0.059999997,0.419999981,0.400000027,0.179999992,0.330000054,0.36999996,0.230000012,0.069999974,0.309999963,0.309999963,0.390000051,1.51126E-06,0.110000018,0.889999982,0.55200003,0.44799997,0.595000053,0.404999947,0.199999945,0.800000055,0.701000053,0.298999947,0.327999976,0.672000024
California,CA,302757,1473304,477981,263914,8588307,16064493,6776959,5571084,1201009,1316947,18363065,18670420,585584,71422,101214,199874,5977,6999,1546886,78105,39512233,32,11458548,25682951,2370734,11853670,20151239,7507324,10668303,14619526,11853670,2370734,1,11458548,11853670,16200016,11,4148784,35363449,22482461,17029772,23312217,16200016,7744398,31767835,27421490,12090743,13710745,25801488,22,155779,0.0001,16.16364208,253.6428723,0.007662361,0.037287288,0.012097038,0.006679299,0.217358179,0.406570112,0.171515465,0.140996435,0.030395878,0.033330108,0.464743792,0.472522522,0.014820322,0.001807592,0.002561586,0.005058535,0.00015127,0.000177135,0.039149546,0.00197673,0.290000011,0.649999989,0.060000001,0.300000003,0.510000004,0.189999993,0.270000002,0.369999995,0.300000003,0.060000001,0.290000011,0.300000003,0.410000012,2.78395E-07,0.104999988,0.895000012,0.569000011,0.430999989,0.589999988,0.410000012,0.196000008,0.803999992,0.694000008,0.305999992,0.347000004,0.652999996
Colorado,CO,27950,177729,52788,34860,1228370,2431323,998503,810518,134390,158937,2759034,2719391,95027,5364,1519,16321,478,122,174496,72499,5758736,45,2130732,3397654,230349,2130732,2649019,978985,1727621,2130732,1612446,287937,9,1727621,1554859,2476256,9,535562,5223174,3570416,2188320,3478277,2280459,1145988,4612748,4100220,1658516,2009799,3748937,10,103642,0.0001,2.830194323,55.56372899,0.004853496,0.030862502,0.009166595,0.006053412,0.213305489,0.422197336,0.173389265,0.140745816,0.023336718,0.027599286,0.479104095,0.472220119,0.016501364,0.000931454,0.000263773,0.002834129,8.30043E-05,2.11852E-05,0.030301094,0.012589395,0.369999944,0.589999958,0.039999924,0.369999944,0.460000076,0.169999979,0.300000035,0.369999944,0.279999986,0.050000035,0.300000035,0.270000049,0.429999917,1.56284E-06,0.092999922,0.907000078,0.619999944,0.380000056,0.604000079,0.395999921,0.198999919,0.801000081,0.711999994,0.288000006,0.349000024,0.650999976
Connecticut,CT,18533,86713,38473,30514,708899,1355876,729114,598518,80213,94020,1653314,1741297,52032,10953,709,208,120,0,110211,87291,3565287,32,1105239,2246131,213917,1140892,1818296,606099,998280,1319156,1069586,178264,2,1033933,1033933,1497421,6,221048,3344239,1886037,1679250,2121346,1443941,659578,2905709,2470744,1094543,1326287,2239000,1,4842,0.0002,35.98368443,736.3252788,0.005198179,0.024321464,0.010790997,0.008558638,0.198833642,0.380299258,0.204503593,0.167873722,0.022498329,0.026370949,0.463725361,0.488403037,0.014594057,0.003072123,0.000198862,5.83403E-05,3.36579E-05,0,0.030912238,0.024483583,0.310000008,0.630000053,0.059999938,0.320000045,0.509999896,0.170000059,0.279999899,0.369999947,0.299999972,0.049999902,0.289999935,0.289999935,0.420000129,1.68289E-06,0.062000058,0.937999942,0.52900005,0.47099995,0.595000066,0.404999934,0.184999973,0.815000027,0.693000031,0.306999969,0.372000066,0.627999934
Delaware,DE,7017,29921,11226,7631,196929,353532,186060,182007,25399,30396,441100,478077,0,0,0,0,0,0,55795,74194,973764,29,350555,564783,58426,321342,438194,214228,272654,370030,272654,58426,-3,340817,301867,331080,8,77901,895863,479092,494672,581337,392427,136327,837437,646579,327185,326211,647553,1,61,0.0164,914.6721311,15963.34426,0.007206058,0.030727158,0.011528461,0.007836601,0.202234833,0.363057168,0.191072991,0.186910792,0.026083322,0.031214956,0.452984501,0.490957768,0,0,0,0,0,0,0.057298278,0.076193,0.359999959,0.579999877,0.060000164,0.329999877,0.450000205,0.219999918,0.280000082,0.379999671,0.280000082,0.060000164,0.349999589,0.310000164,0.340000246,8.21554E-06,0.079999877,0.920000123,0.492000115,0.507999885,0.596999889,0.403000111,0.140000041,0.859999959,0.663999696,0.336000304,0.335000062,0.664999938
Florida,FL,73491,466870,182530,135741,4158464,8026351,4078812,4362457,399694,458938,10055817,10580038,472631,116254,5055,41778,48,35,222831,58368,21477737,91,8805872,11383201,1288664,8376317,9020650,4080770,7517208,7731985,4725102,1503442,11,7517208,6872876,7087653,15,3135750,18341987,11340245,10137492,12521521,8956216,4295547,17182190,14969983,6507754,7538686,13939051,17,53625,0.0003,16.01178555,400.5172401,0.003421729,0.021737393,0.008498568,0.006320079,0.193617419,0.373705619,0.189908834,0.2031153,0.018609689,0.02136808,0.468197231,0.492604877,0.022005624,0.005412768,0.00023536,0.001945177,2.23487E-06,1.62959E-06,0.010374976,0.002717605,0.409999992,0.530000018,0.05999999,0.38999998,0.420000021,0.189999999,0.350000002,0.359999985,0.219999993,0.070000019,0.350000002,0.320000007,0.32999999,6.98398E-07,0.146000019,0.853999981,0.527999994,0.472000006,0.583000015,0.416999985,0.199999981,0.800000019,0.697000014,0.302999986,0.351000015,0.648999985
Georgia,GA,53194,301726,101752,60163,2449835,4312629,1889325,1463029,217483,299352,4911693,5229814,111744,65377,3323,325,34,0,336032,56628,10617423,68,4353143,5627234,637045,4246969,4459318,1911136,3822272,3822272,2229659,743220,12,4671666,3503750,2442007,16,1656318,8961105,5552912,5064511,6264280,4353143,1974841,8642582,7262317,3355106,3652394,6965029,7,57513,0.0001,8.986403074,184.6090971,0.005010067,0.028418007,0.009583493,0.005666441,0.230737251,0.406184156,0.177945722,0.137795113,0.020483596,0.028194412,0.462606887,0.492569054,0.010524588,0.006157521,0.000312976,3.06101E-05,3.20228E-06,0,0.031649111,0.005333498,0.40999996,0.529999982,0.059999964,0.399999981,0.420000032,0.179999987,0.359999974,0.359999974,0.210000016,0.070000037,0.439999989,0.330000039,0.229999973,1.50696E-06,0.156000001,0.843999999,0.522999978,0.477000022,0.59000004,0.40999996,0.18600003,0.81399997,0.683999969,0.316000031,0.344000046,0.655999954
Hawaii,HI,2145,10011,3282,2048,298042,573533,259773,267422,8609,8877,699666,699408,912,123,6510,3944,0,0,5997,88006,1415872,37,410603,849523,155746,396444,707936,311492,353968,566349,353968,141587,1,396444,382285,622984,3,45308,1370564,876425,539447,914653,501219,315739,1100133,1016596,399276,419098,996774,5,6423,0.0008,2.722403861,220.4378017,0.001514967,0.007070554,0.002318006,0.001446458,0.210500667,0.405074046,0.183472094,0.188874418,0.006080352,0.006269635,0.494159077,0.493976857,0.000644126,8.68723E-05,0.004597873,0.002785563,0,0,0.004235552,0.062156749,0.290000085,0.599999859,0.110000057,0.279999887,0.5,0.220000113,0.25,0.400000141,0.25,0.099999859,0.279999887,0.269999689,0.440000226,2.11884E-06,0.032000068,0.967999932,0.619000164,0.380999836,0.64599978,0.35400022,0.222999678,0.777000322,0.717999932,0.282000068,0.295999921,0.704000079
Iowa,IA,35225,178777,65688,47556,686605,1104269,535050,506019,144248,182998,1406187,1440438,183662,6665,2606,435,107,59,133712,66054,3155070,96,1356680,1640636,157754,1325129,1325129,504811,1167376,1104275,757217,126203,8,1167376,946521,1009622,4,123048,3032022,1624861,1530209,1656412,1498658,656255,2498815,2148603,1006467,1025398,2129672,5,82643,0.0001,3.959754607,38.17709909,0.01116457,0.056663402,0.020819823,0.015072883,0.217619577,0.349998257,0.169584193,0.160382812,0.045719429,0.058001249,0.445691221,0.456547081,0.058211704,0.002112473,0.000825972,0.000137873,3.39137E-05,1.87001E-05,0.042380042,0.020935827,0.429999968,0.519999873,0.050000158,0.419999873,0.419999873,0.159999937,0.370000032,0.350000158,0.240000063,0.040000063,0.370000032,0.3,0.319999873,1.2678E-06,0.039000086,0.960999914,0.514999984,0.485000016,0.525000079,0.474999921,0.208000139,0.791999861,0.681000105,0.318999895,0.325000079,0.674999921
