ST,STATE,TOT_AIRPORTS,STATE_LAND_AREA_SQMi,AIRPT_AREA
AK,Alaska,19,"570,641",3.32959E-05
AL,Alabama,5,"50,645",9.87264E-05
AR,Arkansas,4,"52,035",7.68713E-05
AZ,Arizona,4,"113,594",3.52131E-05
CA,California,22,"155,779",0.000141226
CO,Colorado,10,"103,642",9.6486E-05
CT,Connecticut,1,"4,842",0.000206526
DE,Delaware,1,"1,949",0.000513084
FL,Florida,17,"53,625",0.000317016
GA,Georgia,7,"57,513",0.000121712
HI,Hawaii,5,"6,423",0.000778452
IA,Iowa,5,"55,857",8.95143E-05
ID,Idaho,6,"82,643",7.26014E-05
IL,Illinois,7,"55,519",0.000126083
IN,Indiana,4,"35,826",0.000111651
KS,Kansas,4,"81,759",4.89243E-05
KY,Kentucky,4,"39,486",0.000101302
LA,Louisiana,7,"43,204",0.000162022
MA,Massachusetts,5,"7,800",0.000641026
MD,Maryland,1,"9,707",0.000103018
ME,Maine,2,"30,843",6.48445E-05
MI,Michigan,15,"56,539",0.000265304
MN,Minnesota,8,"79,627",0.000100468
MO,Missouri,5,"68,742",7.27357E-05
MS,Mississippi,5,"46,923",0.000106558
MT,Montana,8,"145,546",5.49654E-05
NC,North Carolina,8,"48,618",0.000164548
ND,North Dakota,8,"69,001",0.00011594
NE,Nebraska,3,"76,824",3.90503E-05
NH,New Hampshire,1,"8,953",0.000111694
NJ,New Jersey,3,"7,354",0.000407941
NM,New Mexico,4,"121,298",3.29766E-05
NV,Nevada,3,"109,781",2.73271E-05
NY,New York,14,"47,126",0.000297076
OH,Ohio,5,"40,861",0.000122366
OK,Oklahoma,3,"68,595",4.3735E-05
OR,Oregon,5,"95,988",5.20898E-05
PA,Pennsylvania,8,"44,743",0.000178799
RI,Rhode Island,1,"1,034",0.000967118
SC,South Carolina,4,"30,061",0.000133063
SD,South Dakota,3,"75,811",3.95721E-05
TN,Tennessee,5,"41,235",0.000121256
TX,Texas,24,"261,232",9.18724E-05
UT,Utah,5,"82,170",6.08495E-05
VA,Virginia,7,"39,490",0.00017726
VT,Vermont,1,"9,217",0.000108495
WA,Washington,4,"66,456",6.01902E-05
WI,Wisconsin,8,"54,158",0.000147716
WV,West Virginia,1,"24,038",4.16008E-05
WY,Wyoming,6,"97,093",6.17964E-05
