code,state,conditiongroup,total_deaths
Montana,MT,Malignant neoplasms,206
Indiana,IN,Alzheimer disease,1426
Georgia,GA,Renal failure,3589
South Carolina,SC,Vascular and unspecified dementia,1564
New York,NY,Obesity,1061
Pennsylvania,PA,"Intentional and unintentional injury, poisoning, and other adverse events",1385
New Jersey,NJ,Respiratory diseases,58865
Virginia,VA,Respiratory diseases,19412
South Dakota,SD,Malignant neoplasms,287
Virginia,VA,All other conditions and causes (residual),8156
Alabama,AL,Malignant neoplasms,808
Iowa,IA,Alzheimer disease,797
Massachusetts,MA,"Intentional and unintentional injury, poisoning, and other adverse events",575
Texas,TX,Circulatory diseases,73670
Vermont,VT,Sepsis,0
Michigan,MI,Vascular and unspecified dementia,2893
Connecticut,CT,Respiratory diseases,15301
District of Columbia,DC,COVID-19,2953
Wisconsin,WI,"Intentional and unintentional injury, poisoning, and other adverse events",522
South Carolina,SC,Circulatory diseases,12533
Florida,FL,Alzheimer disease,1782
Maine,ME,Malignant neoplasms,68
Nevada,NV,Obesity,468
Arkansas,AR,Vascular and unspecified dementia,1168
Alabama,AL,COVID-19,21866
South Dakota,SD,Alzheimer disease,365
Hawaii,HI,Vascular and unspecified dementia,62
Nevada,NV,"Intentional and unintentional injury, poisoning, and other adverse events",197
Rhode Island,RI,Circulatory diseases,3751
South Carolina,SC,COVID-19,18498
Kentucky,KY,Diabetes,2916
Mississippi,MS,Vascular and unspecified dementia,1048
Tennessee,TN,Respiratory diseases,29843
New Hampshire,NH,Sepsis,146
Arizona,AZ,All other conditions and causes (residual),11820
Kansas,KS,Malignant neoplasms,491
Indiana,IN,Malignant neoplasms,1429
Washington,WA,COVID-19,11312
Texas,TX,Obesity,6768
Alaska,AK,All other conditions and causes (residual),322
Virginia,VA,"Intentional and unintentional injury, poisoning, and other adverse events",356
Rhode Island,RI,COVID-19,5394
Wisconsin,WI,Diabetes,3522
Georgia,GA,Malignant neoplasms,1285
Louisiana,LA,Malignant neoplasms,788
Utah,UT,"Intentional and unintentional injury, poisoning, and other adverse events",170
New Jersey,NJ,Obesity,1185
North Dakota,ND,Alzheimer disease,311
Georgia,GA,Obesity,1338
Mississippi,MS,Respiratory diseases,20075
Nebraska,NE,Obesity,232
Texas,TX,Diabetes,22270
Pennsylvania,PA,Obesity,1686
Idaho,ID,Diabetes,647
South Carolina,SC,Renal failure,3112
Nevada,NV,Renal failure,1028
North Carolina,NC,COVID-19,27362
New Mexico,NM,COVID-19,8372
Georgia,GA,Alzheimer disease,1166
Illinois,IL,Vascular and unspecified dementia,4425
Georgia,GA,Vascular and unspecified dementia,2410
Michigan,MI,Renal failure,3537
New Mexico,NM,Respiratory diseases,8221
