State,Abbreviation, Population ,State Policy Prevention Mandates Score, Trump approval , Trump disapproval , People who don't care about Trump , Number of people who are Republican/lean ,Number of people who are Democrat/lean,Number of people who are Neither Democrat or Republican,Number of Conservatives,Number of Moderates,Number of Liberals,Number of people who have no political ideology,Economic Confidence Index,Number of people who are very religious,Number of people who Moderatly religious,Number of people who are Nonreligious,% Uninsured,Number of people who are uninsured,Number of people who are Insured,Number of People Who Exercise frequently,Number of people who don't exercise frequently,Number of people who eat produce frequently,Number of people who don't eat produce frequently,Number of people who feel recognize by their community ,Number of people that don't feel community recognition,Number of people who Feel active and productive,Number of people that aren't active and productive,Number of people who are Worried about money,Number of people who aren't worried about money
Alabama,AL,"4,903,185",74.03,"2,598,688","2,059,338","245,159","2,451,593","1,716,115","735,478","2,108,370","1,667,083","784,510","343,223",10,"2,647,720","1,421,924","833,541",13.6,"666,833","4,236,352","2,441,786","2,461,399","2,721,268","2,181,917","1,010,056","3,893,129","3,221,393","1,681,792","1,750,437","3,152,748"
Alaska,AK,"731,545",87.83,"365,773","321,880","43,893","380,403","226,779","124,363","263,356","307,249","124,363","36,577",6,"204,833","182,886","343,826",11.7,"85,591","645,954","461,605","269,940","451,363","280,182","174,108","557,437","552,316","179,229","218,000","513,545"
Arizona,AZ,"7,278,717",80.85,"2,984,274","3,857,720","436,723","3,057,061","2,911,487","1,310,169","2,401,977","2,693,125","1,674,105","509,510",8,"2,256,402","2,256,402","2,838,700",11,"800,659","6,478,058","4,017,852","3,260,865","4,330,837","2,947,880","1,455,743","5,822,974","5,102,381","2,176,336","2,387,419","4,891,298"
Arkansas,AR,"3,017,804",81.78,"1,508,902","1,327,834","181,068","1,358,012","1,086,409","573,383","1,267,478","1,056,231","513,027","181,068",4,"1,508,902","905,341","573,383",10.2,"307,816","2,709,988","1,557,187","1,460,617","1,668,846","1,348,958","555,276","2,462,528","1,991,751","1,026,053","1,104,516","1,913,288"
California,CA,"39,512,233",31.86,"11,458,548","25,682,951","2,370,734","11,853,670","20,151,239","7,507,324","10,668,303","14,619,526","11,853,670","2,370,734",1,"11,458,548","11,853,670","16,200,016",10.5,"4,148,784","35,363,449","22,482,461","17,029,772","23,312,217","16,200,016","7,744,398","31,767,835","27,421,490","12,090,743","13,710,745","25,801,488"
Colorado,CO,"5,758,736",44.96,"2,130,732","3,397,654","230,349","2,130,732","2,649,019","978,985","1,727,621","2,130,732","1,612,446","287,937",9,"1,727,621","1,554,859","2,476,256",9.3,"535,562","5,223,174","3,570,416","2,188,320","3,478,277","2,280,459","1,145,988","4,612,748","4,100,220","1,658,516","2,009,799","3,748,937"
Connecticut,CT,"3,565,287",32.02,"1,105,239","2,246,131","213,917","1,140,892","1,818,296","606,099","998,280","1,319,156","1,069,586","178,264",2,"1,033,933","1,033,933","1,497,421",6.2,"221,048","3,344,239","1,886,037","1,679,250","2,121,346","1,443,941","659,578","2,905,709","2,470,744","1,094,543","1,326,287","2,239,000"
Delaware,DE,"973,764",28.57,"350,555","564,783","58,426","321,342","438,194","214,228","272,654","370,030","272,654","58,426",-3,"340,817","301,867","331,080",8,"77,901","895,863","479,092","494,672","581,337","392,427","136,327","837,437","646,579","327,185","326,211","647,553"
District of Columbia,DC,"705,749",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,FL,"21,477,737",90.7,"8,805,872","11,383,201","1,288,664","8,376,317","9,020,650","4,080,770","7,517,208","7,731,985","4,725,102","1,503,442",11,"7,517,208","6,872,876","7,087,653",14.6,"3,135,750","18,341,987","11,340,245","10,137,492","12,521,521","8,956,216","4,295,547","17,182,190","14,969,983","6,507,754","7,538,686","13,939,051"
