State,Abbreviation,Buddhist,Catholic,Evangelical Protestant,Hindu,Historically Black Protestant,Jehovah's Witness,Jewish,Mainline Protestant,Mormon,Muslim,Orthodox Christian,Other Christian,Other Faiths,Other World Religions,"Unaffiliated (religious ""nones"")",Don't know,Sample Size
Alabama,AL,< 1%,7%,49%,< 1%,16%,< 1%,< 1%,13%,1%,< 1%,< 1%,< 1%,1%,< 1%,12%,1%,511
Alaska,AK,1%,16%,22%,< 1%,3%,< 1%,< 1%,12%,5%,< 1%,5%,< 1%,4%,1%,31%,1%,310
Arizona,AZ,1%,21%,26%,1%,1%,1%,2%,12%,5%,1%,< 1%,< 1%,2%,< 1%,27%,< 1%,653
Arkansas,AR,< 1%,8%,46%,< 1%,8%,< 1%,< 1%,16%,1%,2%,< 1%,< 1%,1%,< 1%,18%,< 1%,311
California,CA,2%,28%,20%,2%,2%,1%,2%,10%,1%,1%,1%,1%,2%,1%,27%,1%,"3,697"
Colorado,CO,1%,16%,26%,< 1%,2%,< 1%,1%,15%,2%,< 1%,1%,1%,2%,< 1%,29%,2%,504
Connecticut,CT,1%,33%,13%,1%,5%,< 1%,3%,17%,1%,1%,1%,1%,2%,< 1%,23%,1%,377
Delaware,DE,< 1%,22%,15%,2%,10%,< 1%,3%,21%,< 1%,1%,1%,< 1%,1%,< 1%,23%,1%,301
District of Columbia,FL,< 1%,20%,8%,1%,23%,< 1%,5%,10%,2%,2%,1%,< 1%,1%,< 1%,25%,1%,303
Florida,GA,< 1%,21%,24%,< 1%,8%,1%,3%,14%,1%,< 1%,< 1%,1%,2%,< 1%,24%,< 1%,"2,020"
Georgia,HI,< 1%,9%,38%,< 1%,17%,2%,1%,12%,1%,< 1%,< 1%,< 1%,2%,< 1%,18%,1%,968
Hawaii,ID,8%,20%,25%,< 1%,2%,1%,< 1%,11%,3%,< 1%,< 1%,1%,1%,< 1%,26%,1%,312
Idaho,IL,< 1%,10%,21%,< 1%,< 1%,< 1%,< 1%,16%,19%,1%,1%,< 1%,2%,< 1%,27%,1%,320
Illinois,IN,1%,28%,20%,1%,7%,1%,2%,16%,< 1%,1%,1%,< 1%,1%,< 1%,22%,1%,"1,326"
