Label,Total population,Total population!!AGE,Total population!!AGE!!Under 5 years,Total population!!AGE!!5 to 9 years,Total population!!AGE!!10 to 14 years,Total population!!AGE!!15 to 19 years,Total population!!AGE!!20 to 24 years,Total population!!AGE!!25 to 29 years,Total population!!AGE!!30 to 34 years,Total population!!AGE!!35 to 39 years,Total population!!AGE!!40 to 44 years,Total population!!AGE!!45 to 49 years,Total population!!AGE!!50 to 54 years,Total population!!AGE!!55 to 59 years,Total population!!AGE!!60 to 64 years,Total population!!AGE!!65 to 69 years,Total population!!AGE!!70 to 74 years,Total population!!AGE!!75 to 79 years,Total population!!AGE!!80 to 84 years,Total population!!AGE!!85 years and over,Total population!!SELECTED AGE CATEGORIES,Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Total population!!SELECTED AGE CATEGORIES!!Under 18 years,Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Total population!!SELECTED AGE CATEGORIES!!15 to 44 years,Total population!!SELECTED AGE CATEGORIES!!16 years and over,Total population!!SELECTED AGE CATEGORIES!!18 years and over,Total population!!SELECTED AGE CATEGORIES!!21 years and over,Total population!!SELECTED AGE CATEGORIES!!60 years and over,Total population!!SELECTED AGE CATEGORIES!!62 years and over,Total population!!SELECTED AGE CATEGORIES!!65 years and over,Total population!!SELECTED AGE CATEGORIES!!75 years and over,Total population!!SUMMARY INDICATORS,Total population!!SUMMARY INDICATORS!!Median age (years),Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),Total population!!SUMMARY INDICATORS!!Age dependency ratio,Total population!!SUMMARY INDICATORS!!Old-age dependency ratio,Total population!!SUMMARY INDICATORS!!Child dependency ratio,Total population!!PERCENT ALLOCATED,Total population!!PERCENT ALLOCATED!!Sex,Total population!!PERCENT ALLOCATED!!Age
Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"4,903,185",,"286,597","294,475","317,645","326,671","317,739","325,338","312,065","307,138","298,601","305,229","304,162","321,296","331,917","274,325","231,232","156,756","107,315","84,684",,"612,120","186,880","1,085,597","457,530","1,887,552","3,937,453","3,817,588","3,608,467","1,186,229","1,047,557","854,312","348,755",,39.4,93.5,65.5,28.8,36.6,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.80%,6.00%,6.50%,6.70%,6.50%,6.60%,6.40%,6.30%,6.10%,6.20%,6.20%,6.60%,6.80%,5.60%,4.70%,3.20%,2.20%,1.70%,,12.50%,3.80%,22.10%,9.30%,38.50%,80.30%,77.90%,73.60%,24.20%,21.40%,17.40%,7.10%,,(X),(X),(X),(X),(X),,0.10%,1.80%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,369,611",,"145,128","148,829","166,244","164,949","158,255","162,250","154,389","156,135","137,487","147,542","145,827","148,502","161,031","126,212","106,285","69,081","43,194","28,271",,"315,073","96,556","556,757","226,648","933,465","1,874,352","1,812,854","1,710,910","534,074","467,977","373,043","140,546",,37.7,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.10%,6.30%,7.00%,7.00%,6.70%,6.80%,6.50%,6.60%,5.80%,6.20%,6.20%,6.30%,6.80%,5.30%,4.50%,2.90%,1.80%,1.20%,,13.30%,4.10%,23.50%,9.60%,39.40%,79.10%,76.50%,72.20%,22.50%,19.70%,15.70%,5.90%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
