,date,state,death,hospitalized,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,positiveIncrease,recovered,totalTestsViral
0,2021-03-07,AK,305.0,1293.0,33.0,,2.0,0,,1731628.0
1,2021-03-07,AL,10148.0,45976.0,494.0,,,408,295690.0,
2,2021-03-07,AR,5319.0,14926.0,335.0,141.0,65.0,165,315517.0,2736442.0
3,2021-03-07,AS,0.0,,,,,0,,2140.0
4,2021-03-07,AZ,16328.0,57907.0,963.0,273.0,143.0,1335,,7908105.0
5,2021-03-07,CA,54124.0,,4291.0,1159.0,,3816,,49646014.0
6,2021-03-07,CO,5989.0,23904.0,326.0,,,840,,
7,2021-03-07,CT,7704.0,,428.0,,,0,,6520366.0
8,2021-03-07,DC,1030.0,,150.0,38.0,16.0,146,29570.0,
9,2021-03-07,DE,1473.0,,104.0,13.0,,215,,
10,2021-03-07,FL,32266.0,82237.0,3307.0,,,4024,,19482607.0
11,2021-03-07,GA,17906.0,56797.0,2008.0,,,1709,,7359069.0
12,2021-03-07,GU,133.0,,2.0,1.0,1.0,0,7590.0,120426.0
13,2021-03-07,HI,445.0,2226.0,27.0,5.0,3.0,53,,
14,2021-03-07,IA,5558.0,,167.0,35.0,6.0,257,320054.0,2753899.0
15,2021-03-07,ID,1879.0,7184.0,150.0,33.0,,104,96017.0,1103725.0
16,2021-03-07,IL,23014.0,,1141.0,255.0,112.0,1068,,18640190.0
17,2021-03-07,IN,12737.0,43217.0,656.0,104.0,50.0,746,,8242367.0
18,2021-03-07,KS,4812.0,9387.0,235.0,50.0,22.0,0,,2525259.0
19,2021-03-07,KY,4819.0,19457.0,558.0,156.0,82.0,525,48145.0,3975672.0
20,2021-03-07,LA,9748.0,,532.0,,75.0,740,415954.0,5634193.0
21,2021-03-07,MA,16417.0,19713.0,665.0,174.0,116.0,1425,508745.0,16825551.0
22,2021-03-07,MD,7955.0,35651.0,818.0,215.0,,709,9703.0,8097590.0
23,2021-03-07,ME,706.0,1570.0,67.0,16.0,8.0,159,12840.0,1660180.0
24,2021-03-07,MI,16658.0,,866.0,222.0,97.0,0,549881.0,10621967.0
25,2021-03-07,MN,6550.0,25978.0,224.0,57.0,,895,476055.0,
26,2021-03-07,MO,8161.0,,955.0,197.0,135.0,291,,4565866.0
27,2021-03-07,MP,2.0,4.0,,,,1,29.0,26131.0
28,2021-03-07,MS,6808.0,9162.0,419.0,89.0,47.0,260,278162.0,1642348.0
29,2021-03-07,MT,1381.0,4630.0,63.0,12.0,6.0,72,97943.0,1104488.0
30,2021-03-07,NC,11502.0,,1179.0,309.0,,0,,9688838.0
31,2021-03-07,ND,1478.0,3880.0,23.0,3.0,,34,98326.0,1536487.0
32,2021-03-07,NE,2113.0,6237.0,137.0,,,373,157144.0,2421684.0
33,2021-03-07,NH,1184.0,1131.0,68.0,,,166,73615.0,1497185.0
34,2021-03-07,NJ,23574.0,64396.0,1792.0,376.0,232.0,2519,,10902830.0
35,2021-03-07,NM,3808.0,13252.0,169.0,,,180,156554.0,2783542.0
36,2021-03-07,NV,5037.0,,399.0,87.0,48.0,730,,
37,2021-03-07,NY,39029.0,,4789.0,999.0,682.0,6789,,
38,2021-03-07,OH,17656.0,50881.0,820.0,260.0,171.0,735,925655.0,10257157.0
39,2021-03-07,OK,4534.0,24332.0,346.0,100.0,,461,412177.0,3548479.0
40,2021-03-07,OR,2296.0,8714.0,158.0,32.0,12.0,195,,3850973.0
41,2021-03-07,PA,24349.0,,1587.0,314.0,183.0,1658,861756.0,
42,2021-03-07,PR,2062.0,,134.0,21.0,19.0,305,91987.0,415664.0
43,2021-03-07,RI,2547.0,9020.0,141.0,25.0,16.0,265,,
44,2021-03-07,SC,8754.0,20725.0,579.0,137.0,83.0,1408,218863.0,5107156.0
45,2021-03-07,SD,1900.0,6705.0,72.0,9.0,6.0,211,109531.0,701924.0
46,2021-03-07,TN,11543.0,18870.0,851.0,218.0,127.0,0,756793.0,6872745.0
47,2021-03-07,TX,44451.0,,4721.0,1463.0,,2953,2502609.0,19907384.0
48,2021-03-07,UT,1976.0,14891.0,212.0,73.0,,412,358958.0,2910121.0
49,2021-03-07,VA,9596.0,24661.0,1127.0,258.0,168.0,1163,,
50,2021-03-07,VI,25.0,,,,,0,2559.0,
51,2021-03-07,VT,208.0,,31.0,1.0,,119,13384.0,1124215.0
52,2021-03-07,WA,5041.0,19599.0,431.0,98.0,43.0,664,,
53,2021-03-07,WI,7106.0,26457.0,249.0,66.0,,377,553203.0,
54,2021-03-07,WV,2325.0,,179.0,40.0,26.0,155,125383.0,2236551.0
55,2021-03-07,WY,682.0,1391.0,21.0,,,0,53550.0,649293.0
56,2021-03-06,AK,305.0,1293.0,33.0,,2.0,0,,1731628.0
57,2021-03-06,AL,10149.0,45976.0,526.0,,,524,295690.0,
58,2021-03-06,AR,5297.0,14915.0,345.0,148.0,75.0,327,315181.0,2733062.0
59,2021-03-06,AS,0.0,,,,,0,,2140.0
60,2021-03-06,AZ,16323.0,57863.0,966.0,280.0,140.0,1735,,7862995.0
61,2021-03-06,CA,53866.0,,4513.0,1221.0,,4452,,49512828.0
62,2021-03-06,CO,5986.0,23886.0,326.0,,,1108,,
63,2021-03-06,CT,7704.0,,428.0,,,0,,6520366.0
64,2021-03-06,DC,1030.0,,150.0,40.0,15.0,151,29470.0,
65,2021-03-06,DE,1464.0,,114.0,12.0,,265,,
66,2021-03-06,FL,32200.0,82145.0,3352.0,,,4587,,19430475.0
67,2021-03-06,GA,17905.0,56762.0,2071.0,,,2269,,7340242.0
68,2021-03-06,GU,133.0,,2.0,1.0,1.0,1,7590.0,120426.0
69,2021-03-06,HI,444.0,2226.0,27.0,5.0,3.0,85,,
70,2021-03-06,IA,5552.0,,170.0,38.0,10.0,362,319780.0,2749435.0
71,2021-03-06,ID,1876.0,7179.0,150.0,33.0,,240,95808.0,1102848.0
72,2021-03-06,IL,23002.0,,1210.0,261.0,108.0,2565,,18572096.0
73,2021-03-06,IN,12726.0,43153.0,663.0,118.0,60.0,1231,,8212940.0
74,2021-03-06,KS,4812.0,9387.0,235.0,50.0,22.0,0,,2525259.0
75,2021-03-06,KY,4806.0,19451.0,591.0,171.0,72.0,839,48131.0,3975672.0
76,2021-03-06,LA,9716.0,,538.0,,77.0,0,415954.0,5613095.0
77,2021-03-06,MA,16374.0,19713.0,687.0,176.0,114.0,1722,508745.0,16728973.0
78,2021-03-06,MD,7941.0,35572.0,830.0,230.0,,932,9703.0,8064462.0
79,2021-03-06,ME,704.0,1566.0,74.0,20.0,9.0,183,12838.0,1652690.0
80,2021-03-06,MI,16658.0,,866.0,222.0,97.0,1692,549881.0,10621967.0
81,2021-03-06,MN,6546.0,25976.0,224.0,57.0,,946,475170.0,
82,2021-03-06,MO,8161.0,,1001.0,198.0,136.0,386,,4555207.0
83,2021-03-06,MP,2.0,4.0,,,,0,29.0,26131.0
84,2021-03-06,MS,6805.0,9162.0,419.0,89.0,47.0,576,278162.0,1642348.0
85,2021-03-06,MT,1381.0,4629.0,63.0,12.0,6.0,186,97801.0,1101356.0
86,2021-03-06,NC,11502.0,,1179.0,309.0,,2027,,9688838.0
87,2021-03-06,ND,1478.0,3878.0,21.0,3.0,,79,98240.0,1535606.0
88,2021-03-06,NE,2113.0,6229.0,136.0,,,343,156825.0,2421683.0
89,2021-03-06,NH,1181.0,1127.0,90.0,,,273,73327.0,1481488.0
90,2021-03-06,NJ,23557.0,64338.0,1862.0,382.0,233.0,3720,,10902830.0
91,2021-03-06,NM,3796.0,13242.0,148.0,,,282,155000.0,2771840.0
92,2021-03-06,NV,5036.0,,399.0,87.0,48.0,0,,
93,2021-03-06,NY,38970.0,,4954.0,1012.0,694.0,7647,,
94,2021-03-06,OH,17656.0,50848.0,922.0,273.0,188.0,1506,923986.0,10227868.0
95,2021-03-06,OK,4534.0,24277.0,346.0,100.0,,978,411624.0,3548479.0
96,2021-03-06,OR,2293.0,8714.0,158.0,32.0,12.0,211,,3850973.0
97,2021-03-06,PA,24317.0,,1513.0,314.0,171.0,2789,859218.0,
98,2021-03-06,PR,2059.0,,147.0,24.0,18.0,261,91987.0,415664.0
99,2021-03-06,RI,2547.0,9020.0,141.0,25.0,16.0,395,,
100,2021-03-06,SC,8719.0,20659.0,623.0,157.0,86.0,1199,218863.0,5080874.0
101,2021-03-06,SD,1898.0,6692.0,74.0,10.0,7.0,149,109371.0,700649.0
102,2021-03-06,TN,11543.0,18870.0,879.0,223.0,127.0,1312,756793.0,6872745.0
103,2021-03-06,TX,44367.0,,4921.0,1503.0,,5570,2491753.0,19831344.0
104,2021-03-06,UT,1975.0,14867.0,216.0,77.0,,570,358249.0,2903293.0
105,2021-03-06,VA,9519.0,24637.0,1164.0,263.0,160.0,1477,,
106,2021-03-06,VI,25.0,,,,,0,2559.0,
107,2021-03-06,VT,208.0,,26.0,2.0,,145,13305.0,1115467.0
108,2021-03-06,WA,5041.0,19556.0,431.0,98.0,30.0,778,,
109,2021-03-06,WI,7102.0,26432.0,260.0,77.0,,614,552642.0,
110,2021-03-06,WV,2323.0,,196.0,56.0,27.0,326,124983.0,2230102.0
111,2021-03-06,WY,682.0,1391.0,21.0,,,0,53550.0,649293.0
112,2021-03-05,AK,305.0,1293.0,33.0,,2.0,141,,1731628.0
113,2021-03-05,AL,10122.0,45976.0,526.0,,,811,295690.0,
114,2021-03-05,AR,5283.0,14903.0,359.0,153.0,86.0,570,314732.0,2728103.0
115,2021-03-05,AS,0.0,,,,,0,,2140.0
116,2021-03-05,AZ,16269.0,57819.0,1043.0,325.0,154.0,2276,,7827570.0
117,2021-03-05,CA,53448.0,,4714.0,1236.0,,4659,,49294503.0
118,2021-03-05,CO,5986.0,23863.0,356.0,,,1633,,
119,2021-03-05,CT,7704.0,,428.0,,,830,,6520366.0
120,2021-03-05,DC,1027.0,,160.0,45.0,19.0,108,29417.0,
121,2021-03-05,DE,1453.0,,127.0,15.0,,231,,
122,2021-03-05,FL,32093.0,81902.0,3419.0,,,5876,,19371172.0
123,2021-03-05,GA,17815.0,56627.0,2099.0,,,2081,,7315477.0
124,2021-03-05,GU,133.0,,2.0,1.0,1.0,1,7590.0,120426.0
125,2021-03-05,HI,443.0,2225.0,28.0,5.0,3.0,95,,
