,Data As Of,Group,State,Age Group
0,07/07/2021,By Total,United States,All Ages
1,07/07/2021,By Total,United States,Under 1 year
2,07/07/2021,By Total,United States,0-17 years
3,07/07/2021,By Total,United States,1-4 years
4,07/07/2021,By Total,United States,5-14 years
5,07/07/2021,By Total,United States,15-24 years
6,07/07/2021,By Total,United States,18-29 years
7,07/07/2021,By Total,United States,25-34 years
8,07/07/2021,By Total,United States,30-39 years
9,07/07/2021,By Total,United States,35-44 years
10,07/07/2021,By Total,United States,40-49 years
11,07/07/2021,By Total,United States,45-54 years
12,07/07/2021,By Total,United States,50-64 years
13,07/07/2021,By Total,United States,55-64 years
14,07/07/2021,By Total,United States,65-74 years
15,07/07/2021,By Total,United States,75-84 years
16,07/07/2021,By Total,United States,85 years and over
17,07/07/2021,By Total,United States,All Ages
18,07/07/2021,By Total,United States,Under 1 year
19,07/07/2021,By Total,United States,0-17 years
20,07/07/2021,By Total,United States,1-4 years
21,07/07/2021,By Total,United States,5-14 years
22,07/07/2021,By Total,United States,15-24 years
23,07/07/2021,By Total,United States,18-29 years
24,07/07/2021,By Total,United States,25-34 years
25,07/07/2021,By Total,United States,30-39 years
26,07/07/2021,By Total,United States,35-44 years
27,07/07/2021,By Total,United States,40-49 years
28,07/07/2021,By Total,United States,45-54 years
29,07/07/2021,By Total,United States,50-64 years
30,07/07/2021,By Total,United States,55-64 years
31,07/07/2021,By Total,United States,65-74 years
32,07/07/2021,By Total,United States,75-84 years
33,07/07/2021,By Total,United States,85 years and over
34,07/07/2021,By Total,United States,All Ages
35,07/07/2021,By Total,United States,Under 1 year
36,07/07/2021,By Total,United States,0-17 years
37,07/07/2021,By Total,United States,1-4 years
38,07/07/2021,By Total,United States,5-14 years
39,07/07/2021,By Total,United States,15-24 years
40,07/07/2021,By Total,United States,18-29 years
41,07/07/2021,By Total,United States,25-34 years
42,07/07/2021,By Total,United States,30-39 years
43,07/07/2021,By Total,United States,35-44 years
44,07/07/2021,By Total,United States,40-49 years
45,07/07/2021,By Total,United States,45-54 years
46,07/07/2021,By Total,United States,50-64 years
47,07/07/2021,By Total,United States,55-64 years
48,07/07/2021,By Total,United States,65-74 years
49,07/07/2021,By Total,United States,75-84 years
50,07/07/2021,By Total,United States,85 years and over
51,07/07/2021,By Total,Alabama,All Ages
52,07/07/2021,By Total,Alabama,Under 1 year
53,07/07/2021,By Total,Alabama,0-17 years
54,07/07/2021,By Total,Alabama,1-4 years
55,07/07/2021,By Total,Alabama,5-14 years
56,07/07/2021,By Total,Alabama,15-24 years
57,07/07/2021,By Total,Alabama,18-29 years
58,07/07/2021,By Total,Alabama,25-34 years
59,07/07/2021,By Total,Alabama,30-39 years
60,07/07/2021,By Total,Alabama,35-44 years
61,07/07/2021,By Total,Alabama,40-49 years
62,07/07/2021,By Total,Alabama,45-54 years
63,07/07/2021,By Total,Alabama,50-64 years
64,07/07/2021,By Total,Alabama,55-64 years
65,07/07/2021,By Total,Alabama,65-74 years
66,07/07/2021,By Total,Alabama,75-84 years
67,07/07/2021,By Total,Alabama,85 years and over
68,07/07/2021,By Total,Alabama,All Ages
69,07/07/2021,By Total,Alabama,Under 1 year
70,07/07/2021,By Total,Alabama,0-17 years
71,07/07/2021,By Total,Alabama,1-4 years
72,07/07/2021,By Total,Alabama,5-14 years
73,07/07/2021,By Total,Alabama,15-24 years
74,07/07/2021,By Total,Alabama,18-29 years
75,07/07/2021,By Total,Alabama,25-34 years
76,07/07/2021,By Total,Alabama,30-39 years
77,07/07/2021,By Total,Alabama,35-44 years
78,07/07/2021,By Total,Alabama,40-49 years
79,07/07/2021,By Total,Alabama,45-54 years
80,07/07/2021,By Total,Alabama,50-64 years
81,07/07/2021,By Total,Alabama,55-64 years
82,07/07/2021,By Total,Alabama,65-74 years
83,07/07/2021,By Total,Alabama,75-84 years
84,07/07/2021,By Total,Alabama,85 years and over
85,07/07/2021,By Total,Alabama,All Ages
86,07/07/2021,By Total,Alabama,Under 1 year
87,07/07/2021,By Total,Alabama,0-17 years
88,07/07/2021,By Total,Alabama,1-4 years
89,07/07/2021,By Total,Alabama,5-14 years
90,07/07/2021,By Total,Alabama,15-24 years
91,07/07/2021,By Total,Alabama,18-29 years
92,07/07/2021,By Total,Alabama,25-34 years
93,07/07/2021,By Total,Alabama,30-39 years
94,07/07/2021,By Total,Alabama,35-44 years
95,07/07/2021,By Total,Alabama,40-49 years
96,07/07/2021,By Total,Alabama,45-54 years
97,07/07/2021,By Total,Alabama,50-64 years
98,07/07/2021,By Total,Alabama,55-64 years
99,07/07/2021,By Total,Alabama,65-74 years
100,07/07/2021,By Total,Alabama,75-84 years
101,07/07/2021,By Total,Alabama,85 years and over
102,07/07/2021,By Total,Alaska,All Ages
103,07/07/2021,By Total,Alaska,Under 1 year
104,07/07/2021,By Total,Alaska,0-17 years
105,07/07/2021,By Total,Alaska,1-4 years
106,07/07/2021,By Total,Alaska,5-14 years
107,07/07/2021,By Total,Alaska,15-24 years
108,07/07/2021,By Total,Alaska,18-29 years
109,07/07/2021,By Total,Alaska,25-34 years
110,07/07/2021,By Total,Alaska,30-39 years
