,submission_date,state,tot_cases,new_case,tot_death,new_death,created_at
0,03/29/2021,TX,2775669,3589,48628,46,03/31/2021 12:00:00 AM
1,07/28/2020,MP,40,0,2,0,07/29/2020 02:34:46 PM
2,08/22/2020,AR,56199,547,674,11,08/23/2020 02:15:28 PM
3,05/09/2021,PW,0,0,0,0,05/10/2021 02:15:36 PM
4,08/15/2020,FL,563628,6291,9345,204,08/16/2020 02:57:14 PM
5,05/22/2021,MA,704796,451,17818,5,05/23/2021 01:37:59 PM
6,10/01/2020,MP,73,3,2,0,10/02/2020 01:40:08 PM
7,05/05/2021,PR,133846,141,2348,11,05/06/2021 02:14:04 PM
8,02/16/2021,TX,2567297,3348,44566,157,02/18/2021 12:00:00 AM
9,06/20/2021,PW,2,0,0,0,06/21/2021 04:43:32 PM
10,03/19/2020,GA,493,115,13,7,03/26/2020 12:22:39 PM
11,04/17/2020,AS,0,0,0,0,04/17/2020 04:22:39 PM
12,08/29/2020,PR,32848,298,434,6,08/30/2020 02:49:52 PM
13,04/16/2020,AK,300,7,9,0,04/16/2020 12:00:00 AM
14,06/26/2020,NYC,216745,395,22892,17,06/24/2020 12:00:00 AM
15,05/25/2020,CO,24226,89,1331,1,05/26/2020 02:23:02 PM
16,05/03/2021,GA,1103659,870,20227,15,05/04/2021 02:00:10 PM
17,01/14/2021,WV,105219,827,1702,31,01/15/2021 02:46:04 PM
18,03/07/2021,UT,374850,412,1976,1,03/08/2021 02:47:36 PM
19,03/18/2020,AR,37,13,0,0,03/26/2020 04:22:39 PM
20,03/18/2021,AS,4,0,0,0,03/19/2021 02:25:43 PM
21,09/26/2020,MP,70,1,2,0,09/27/2020 01:39:49 PM
22,06/21/2021,MA,709443,48,17976,5,06/22/2021 02:36:11 PM
23,02/27/2021,PR,100297,253,2036,4,02/28/2021 02:48:18 PM
24,04/24/2020,MA,50969,4946,3194,203,05/12/2021 01:46:26 PM
25,04/12/2021,UT,390289,185,2159,0,04/13/2021 02:00:37 PM
26,05/29/2020,CO,25613,492,1436,15,05/30/2020 03:47:59 PM
27,02/23/2021,PW,0,0,0,0,02/24/2021 02:56:12 PM
